,Unnamed: 0,CUSIP,ISIN,Coupon Type,Instrument Type,Country Code,Accrual Date,Maturity Date,Interest Payment Frequency,Original Coupon Rate,Nominal Value,Accrual Compounding Method,Business Day Convention Code,Interest Basis,Simple Duration,Modified Duration,Macaulay Duration,Simple Convexity
8,71,13162EDU7,US13162EDU73,Fixed Rate,Debt,US,2021-12-20,2026-12-15,Quarterly,1.5,1000.0,Simple Interest,Following Business Day Convention,30/360,4.337766242221978,4.321560390756641,4.337766242221978,20.1402254955089
9,77,,XS2412038593,Fixed Rate,Debt,GB,2021-11-30,2022-12-02,Weekly,15.0,100000.0,,Following Business Day Convention,30/360 (ICMA),0.42692327697538923,0.4256953097357668,0.4269232769753892,0.1935730623283492
13,101,,DE000LB1QB73,Fixed Rate,Debt,DE,2018-07-26,2026-12-27,Quarterly,1.0,100000.0,Annual,Following Business Day Convention,Actual/Actual,4.409725133775839,4.398728312993356,4.409725133775839,20.75962472170647
18,153,,XS2362971959,Fixed Rate,Debt,GB,2021-07-16,2023-07-13,Weekly,2.0,,,Following Business Day Convention,30/360 (ICMA),4.405367935672108,4.403674214820254,4.405367935672108,19.802593326468283
22,164,,XS2318480022,Fixed Rate,Debt,GB,2021-08-27,2022-08-31,Semi Annual,12.0,,,Following Business Day Convention,30/360 (ICMA),4.368348873590832,4.121083843010219,4.368348873590832,19.325503345970517
25,180,,XS2406382072,Fixed Rate,Debt,SG,2021-11-18,2022-11-22,Semi Annual,17.85,,,Following Business Day Convention,30/360 (ICMA),4.341675948384188,3.9859315569283336,4.341675948384188,18.168184812396106
27,202,,XS2326147068,Fixed Rate,Debt,GB,2021-08-19,2022-08-23,Weekly,8.0,,,Following Business Day Convention,30/360 (ICMA),4.383780245978974,4.377046328550436,4.383780245978975,19.63814151714744
32,226,,XS2372221130,Fixed Rate,Debt,SG,2021-08-13,2022-08-17,Semi Annual,12.0,,,Following Business Day Convention,30/360 (ICMA),4.368348873590832,4.121083843010219,4.368348873590832,19.325503345970517
36,254,,XS2372503032,Fixed Rate,Debt,GB,2021-09-03,2022-12-08,Semi Annual,0.6667,,,Following Business Day Convention,30/360 (ICMA),4.409620982117825,4.394970348461229,4.409620982117825,21.815765861836745
39,276,,XS2365482368,Fixed Rate,Debt,GB,2021-08-13,2022-11-17,Semi Annual,0.8333,,,Following Business Day Convention,30/360 (ICMA),4.409101908816519,4.390807608913979,4.4091019088165195,21.776478389175587
41,287,084659AQ4,US084659AQ40,Fixed Rate,Debt,US,2018-07-25,2049-01-15,Annually,4.45,1000.0,Simple Interest,Following Business Day Convention,30/360,15.790341545405338,15.117607989856715,15.790341545405338,326.41303708284636
43,297,,XS2218117989,Fixed Rate,Debt,SG,2021-11-29,2022-08-31,Semi Annual,12.0,,,Following Business Day Convention,30/360 (ICMA),9.563229481605463,9.021914605288169,9.56322948160546,148.86156873140348
49,336,,XS2326213209,Fixed Rate,Debt,GB,2021-08-19,2023-08-21,Semi Annual,0.46,,,Following Business Day Convention,30/360 (ICMA),19.11722173175996,19.07335301981439,19.11722173175996,450.35423938304314
50,341,,USG82296AC17,Fixed Rate,Debt,US,2018-07-30,2023-07-15,Annually,4.125,1000.0,,Following Business Day Convention,30/360 (ICMA),1.0268221399961501,0.9861437118810563,1.02682213999615,1.955046201133698
52,354,,XS2138606319,Fixed Rate,Debt,GB,2020-03-25,2025-01-10,Quarterly,1.0,,,Following Business Day Convention,30/360 (ICMA),1.0279768448280944,1.0254133115492214,1.0279768448280944,1.3444080250138528
53,356,,XS2313788049,Fixed Rate,Debt,FR,2021-08-19,2022-08-19,Weekly,10.25,,,Following Business Day Convention,30/360 (ICMA),1.0243677372434894,1.022352523135386,1.0243677372434894,1.1054111986242416
56,368,49568RAB7,US49568RAB78,Fixed Rate,Debt,US,2018-08-01,2023-07-31,Annually,9.0,1000.0,Simple Interest,No Adjustment,30/360,1.020456409569452,0.9361985408894054,1.020456409569452,1.798757329751888
57,373,,XS2300757437,Fixed Rate,Debt,GB,2021-09-01,2022-09-06,Weekly,1.25,,,Following Business Day Convention,30/360 (ICMA),1.0258381353621002,1.0255915989200521,1.0258381353621002,1.142328486627172
65,420,06675FAR8,US06675FAR82,Fixed Rate,Debt,US,2018-07-20,2023-07-20,Annually,3.75,1000.0,,Following Business Day Convention,30/360 (ICMA),1.038855421686747,1.0013064305414427,1.038855421686747,2.0000944407620316
66,428,,XS2291424377,Fixed Rate,Debt,GB,2021-09-08,2022-08-25,Semi Annual,2.345,,,Following Business Day Convention,30/360 (ICMA),1.03932281601451,1.0272779816793198,1.0393228160145098,1.5965979316287235
74,483,,XS2372537873,Fixed Rate,Debt,GB,2021-08-27,2022-12-01,Semi Annual,0.6667,,,Following Business Day Convention,30/360 (ICMA),1.0398915004515472,1.036436539247964,1.0398915004515472,1.6243483948760384
78,498,,XS2372480827,Fixed Rate,Debt,SG,2021-09-13,2031-06-20,Annually,0.61,,,Following Business Day Convention,30/360 (ICMA),1.0399109549944603,1.0336059586467155,1.0399109549944605,2.129128955097482
79,501,,XS2019492623,Fixed Rate,Debt,GB,2019-10-03,2022-10-03,Weekly,10.1,,Simple Interest,Modified Following Business Day Convention,30/360,1.0365551168763176,1.0345457107842175,1.0365551168763176,1.126965059305713
84,527,,FR0013352192,Fixed Rate,Debt,FR,2018-08-02,2038-08-02,Quarterly,1.47,100000.0,Annual,Following Business Day Convention,Actual/Actual,14.34388626344169,14.291365495246659,14.343886263441691,223.91707233497957
86,536,,INE302E07375,Fixed Rate,Debt,IN,2021-07-29,2025-08-29,Semi Annual,10.0,1000.0,Annual,Following Business Day Convention,Actual/Actual,2.7217550351883335,2.592147652560318,2.721755035188334,8.689502207587841
92,552,,XS1839690721,Fixed Rate,Debt,US,2018-08-06,2038-08-06,Annually,1.4,,,Following Business Day Convention,30/360 (ICMA),2.7845013176979636,2.7460565263293524,2.784501317697963,10.937664679026568
97,595,46323AAD2,US46323AAD28,Fixed Rate,Debt,US,2018-08-23,2024-02-28,Annually,13.0,1000.0,,No Adjustment,30/360 (ICMA),1.5655113077679452,1.3854082369627836,1.5655113077679452,3.225112406105287
98,605,,DE000BLB80F9,Fixed Rate,Debt,DE,2020-04-09,2027-04-09,Quarterly,0.1,1000.0,Annual,Following Business Day Convention,Actual/Actual,4.782671827422437,4.78147645830786,4.782671827422437,24.095932210995716
99,613,,DE000LB21JS9,Fixed Rate,Debt,DE,2021-08-30,2023-08-25,Quarterly,3.5,1000.0,Annual,Following Business Day Convention,Actual/Actual,1.1510840423700495,1.1410994224238409,1.1510840423700495,1.6003574336755775
104,632,,USU70268AC82,Fixed Rate,Debt,US,2018-08-02,2026-08-01,Annually,6.625,1000.0,Simple Interest,Following Business Day Convention,30/360,3.5257774223148233,3.30670801623899,3.525777422314823,15.313473031918921
111,662,,DE000DK0WSD2,Fixed Rate,Debt,DE,2020-04-16,2029-04-16,Quarterly,0.19,1000.0,Annual,Following Business Day Convention,Actual/Actual,6.769033531064921,6.76581976667575,6.769033531064921,47.66967896304575
113,675,,INE501X07075,Fixed Rate,Debt,IN,2018-07-24,2024-07-24,Annually,12.1,100000.0,Annual,Following Business Day Convention,Actual/Actual,1.774074233530826,1.5825818318740643,1.7740742335308262,4.258600896034973
