,accrual_date,maturity_date,interest_payment_freuency,original_coupon_rate,nominal_value,accrual_compounding_method,business_day_convention_code
0,null,2022-05-13,null,null,null,null,null
1,null,2022-05-11,null,null,null,null,null
2,null,2022-05-16,null,null,null,null,null
3,null,2022-05-04,null,null,null,null,null
4,null,2022-05-04,null,null,null,null,null
5,null,2022-05-06,null,null,null,null,null
6,null,2022-05-12,null,null,null,null,null
7,null,2022-05-26,null,null,null,null,null
8,null,2022-05-27,null,null,null,null,null
9,null,2022-08-09,null,null,null,null,null
10,null,2022-05-13,null,null,null,null,null
11,null,2022-02-25,null,0.0000000,null,null,null
12,2019-10-03,2024-10-03,null,null,null,null,null
13,null,null,1,null,1000.000000,6,5
14,null,2023-08-08,null,0.0000000,100000.000000,null,null
15,null,2022-09-01,5,8.8500000,null,null,null
16,null,null,1,null,1000.000000,6,5
17,null,null,5,0.0000000,1000.000000,5,2
18,2021-09-01,2023-11-01,2,7.5000000,null,null,null
19,2021-08-13,2022-11-17,2,0.6667000,null,null,5
20,2021-08-27,2022-03-02,2,0.9409000,null,null,5
21,null,2025-08-19,5,4.1000000,null,null,null
22,null,2025-08-29,null,0.0000000,1000.000000,null,null
23,2021-09-08,2022-09-15,2,6.9996000,null,null,5
24,null,2022-05-13,null,null,null,null,null
25,null,2022-05-27,null,null,null,null,null
26,2021-11-22,2022-11-25,2,8.0000000,null,null,5
27,2021-09-06,2022-09-13,5,8.0000000,null,null,5
28,null,2022-05-13,null,null,null,null,null
29,null,2022-05-27,null,null,null,null,null
30,null,2022-03-23,null,null,null,null,null
31,2021-01-29,2022-03-21,36,5.5000000,1000.000000,null,5
32,null,2022-05-11,null,null,null,null,null
33,null,2022-05-04,null,null,null,null,null
34,null,2024-11-19,3,null,null,null,null
35,2018-08-02,2023-08-02,5,null,500000.000000,null,2
36,2021-09-01,2022-03-08,2,9.9996000,null,null,5
37,null,2025-07-01,null,null,null,null,null
38,null,2022-08-09,null,null,null,null,null
39,null,2022-08-12,null,null,null,null,null
40,null,null,1,null,1000.000000,6,5
41,null,2022-09-02,null,0.0000000,1000.000000,null,null
42,null,null,1,null,1000.000000,6,5
43,null,2028-08-16,null,null,null,null,null
44,null,2031-07-08,null,null,null,null,null
45,2021-09-03,2023-03-08,5,null,null,null,null
46,null,2024-08-27,null,null,null,null,null
47,null,null,1,null,1000.000000,6,5
48,null,2022-05-27,null,null,null,null,null
49,null,null,5,0.0000000,1000.000000,5,2
